,open,high,low,close,volume,value,movingAverage20
2023-09-19 17:00:00,36079000.0,36773000.0,36065000.0,36486000.0,894.11065631,32570156966.9675,
2023-09-19 21:00:00,36486000.0,36820000.0,36117000.0,36750000.0,787.08368904,28724621517.52839,
2023-09-20 01:00:00,36778000.0,36789000.0,36359000.0,36546000.0,232.69244784,8504624132.33328,
2023-09-20 05:00:00,36546000.0,36576000.0,36300000.0,36500000.0,231.56851697,8446530466.92468,
2023-09-20 09:00:00,36509000.0,36743000.0,36400000.0,36504000.0,607.02858308,22187894970.13453,
2023-09-20 13:00:00,36499000.0,36547000.0,36319000.0,36473000.0,729.03918438,26579007789.18829,
2023-09-20 17:00:00,36473000.0,36519000.0,36249000.0,36423000.0,491.52376347,17890381838.15377,
2023-09-20 21:00:00,36424000.0,36639000.0,36329000.0,36530000.0,417.82008807,15238061017.75794,
2023-09-21 01:00:00,36530000.0,36660000.0,36150000.0,36308000.0,347.51227076,12661288747.34169,
2023-09-21 05:00:00,36304000.0,36650000.0,36296000.0,36501000.0,260.95781331,9522430207.2281,
2023-09-21 09:00:00,36502000.0,36659000.0,36404000.0,36515000.0,716.80977466,26170719478.15663,
2023-09-21 13:00:00,36520000.0,36645000.0,36501000.0,36596000.0,557.04568254,20376794764.53963,
2023-09-21 17:00:00,36596000.0,36601000.0,36000000.0,36185000.0,766.7157337,27827555960.4596,
2023-09-21 21:00:00,36200000.0,36246000.0,35818000.0,36061000.0,1014.62319376,36519384182.64435,
2023-09-22 01:00:00,36059000.0,36120000.0,35967000.0,36014000.0,176.0128353,6343252409.06635,
2023-09-22 05:00:00,36014000.0,36078000.0,35938000.0,36012000.0,207.63147917,7479600853.78569,
2023-09-22 09:00:00,35989000.0,36129000.0,35900000.0,35989000.0,409.94560973,14764120659.58072,
2023-09-22 13:00:00,35979000.0,36117000.0,35950000.0,36046000.0,387.30544377,13955126104.85687,
2023-09-22 17:00:00,36047000.0,36118000.0,35998000.0,36052000.0,509.96619547,18387958894.60572,
2023-09-22 21:00:00,36052000.0,36086000.0,35901000.0,36040000.0,463.07344817,16667842831.71115,36326550.0
2023-09-23 01:00:00,36040000.0,36065000.0,35904000.0,35929000.0,164.11568087,5905459159.37564,36298700.0
2023-09-23 05:00:00,35929000.0,36007000.0,35913000.0,35952000.0,141.24821858,5078338103.59204,36258800.0
2023-09-23 09:00:00,35964000.0,36019000.0,35920000.0,35977000.0,291.50520128,10482322438.26461,36230350.0
2023-09-23 13:00:00,35976000.0,35981000.0,35910000.0,35929000.0,177.94870932,6395012375.79846,36201800.0
